type,date,value,value_kwh,standing_charge,charge_per_kwh,value_gbp
gas,2025-03-13,5.640999999999999,62.81484780999999,0.2852,0.061,4.116905716409999
gas,2025-03-14,4.612,51.356510920000005,0.2852,0.061,3.4179471661200003
gas,2025-03-15,5.435000000000001,60.52095335000001,0.2852,0.061,3.9769781543500007
gas,2025-03-16,5.365999999999999,59.75261005999999,0.2852,0.061,3.9301092136599993
gas,2025-03-17,4.806000000000001,53.516780460000014,0.2852,0.061,3.5497236080600008
gas,2025-03-18,4.814000000000001,53.60586374000001,0.2852,0.061,3.555157688140001
gas,2025-03-19,3.7749999999999995,42.03617274999999,0.2852,0.061,2.8494065377499997
gas,2025-03-20,2.365,26.335244650000003,0.2852,0.061,1.8916499236500002
gas,2025-03-21,2.3359999999999994,26.012317759999995,0.2852,0.061,1.8719513833599994
gas,2025-03-22,2.967000000000001,33.03876147000001,0.2852,0.061,2.300564449670001
gas,2025-03-23,3.163,35.22130183,0.2852,0.061,2.43369941163
gas,2025-03-24,3.0029999999999992,33.43963622999999,0.2852,0.061,2.3250178100299994
gas,2025-03-25,2.5789999999999993,28.718222389999994,0.2852,0.061,2.0370115657899994
gas,2025-03-26,2.4339999999999997,27.103587939999997,0.2852,0.061,1.9385188643399998
gas,2025-03-27,3.5490000000000004,39.51957009,0.2852,0.061,2.69589377549
gas,2025-03-28,2.5149999999999997,28.005556149999997,0.2852,0.061,1.9935389251499998
gas,2025-03-29,2.9579999999999997,32.93854278,0.2852,0.061,2.29445110958
gas,2025-03-30,3.435,38.25013335,0.2852,0.061,2.61845813435
gas,2025-03-31,2.6170000000000004,29.141367970000005,0.2852,0.061,2.0628234461700004
gas,2025-04-01,2.848,31.713647679999998,0.2783,0.0612,2.2191752380159997
gas,2025-04-02,2.528,28.15031648,0.2783,0.0612,2.001099368576
gas,2025-04-03,1.27,14.1419707,0.2783,0.0612,1.1437886068399998
gas,2025-04-04,0.6700000000000002,7.460724700000002,0.2783,0.0612,0.7348963516400001
gas,2025-04-05,0.36000000000000004,4.0087476,0.2783,0.0612,0.52363535312
gas,2025-04-06,0.9410000000000001,10.478420810000001,0.2783,0.0612,0.919579353572
gas,2025-04-07,1.2990000000000002,14.464897590000001,0.2783,0.0612,1.163551732508
gas,2025-04-08,1.4740000000000002,16.413594340000003,0.2783,0.0612,1.2828119736080001
gas,2025-04-09,1.8520000000000005,20.622779320000006,0.2783,0.0612,1.5404140943840003
gas,2025-04-10,2.255,25.11034955,0.2783,0.0612,1.8150533924599999
gas,2025-04-11,3.151,35.08767691,0.2783,0.0612,2.4256658268919997
gas,2025-04-12,1.122,12.493930020000002,0.2783,0.0612,1.0429285172240002
gas,2025-04-13,3.1580000000000013,35.165624780000016,0.2783,0.0612,2.430436236536001
gas,2025-04-14,2.2710000000000004,25.288516110000003,0.2783,0.0612,1.825957185932
gas,2025-04-15,0.14400000000000002,1.6034990400000002,0.2783,0.0612,0.376434141248
gas,2025-04-16,3.5780000000000007,39.84249698000001,0.2783,0.0612,2.7166608151760006
gas,2025-04-17,3.042,33.873917219999996,0.2783,0.0612,2.351383733864
gas,2025-04-18,2.6800000000000006,29.842898800000007,0.2783,0.0612,2.1046854065600007
